activity,time,lat,long,activity_id
Walking, 1571546093.002, 433507691049598.7, -86160478487064.53, -492
Walking, 1571546114.01, 433609719834858.7, -86769424124109.44, -492
Walking, 1571546127.0089998, 433610451932845.56, -86769597276525.05, -492
Walking, 1571546137.0029998, 433609376824725.2, -86769619254807.53, -492
Walking, 1571546147.008, 433505563243290.0, -86615686375512.6, -492
Walking, 1571546161.004, 433505754556345.44, -86615686375512.6, -492
Walking, 1571546171.008, 433539614066395.75, -86669091866765.02, -492
Walking, 1571546181.0029998, 433539808044042.94, -86668452323501.62, -492
Walking, 1571546210.867, 434034554144042.94, -86668452323501.62, -492
Walking, 1571546220.014, 434528354744042.9, -86668452323501.62, -492
Walking, 1571546230.3539999, 434530374754813.2, -86668452323501.62, -492
Walking, 1571546241.004, 434532390844042.9, -86668452323501.62, -492
Walking, 1571546251.008, 434533175454142.44, -86668061749974.81, -492
Walking, 1571546268.004, 434533968154142.44, -86668061749974.81, -492
Walking, 1571546278.0089998, 434533064371797.75, -86667894191610.78, -492
Walking, 1571546288.0029998, 434532142191664.1, -86668063803777.58, -492
Walking, 1571546298.0070002, 434531180390952.44, -86667972195656.73, -492
Walking, 1571546308.002, 434530806112937.6, -86667708232851.88, -492
Walking, 1571546308.669, 434220524576241.5, -86659072693976.22, -492
Walking, 1571546318.006, 433986538564860.0, -86635256918412.17, -492
Walking, 1571546328.0010002, 433985333803062.0, -86635254773875.4, -492
Walking, 1571546339.002, 433986199837524.94, -86635134907274.73, -492
Walking, 1571546349.006, 433986528471635.3, -86635332473027.03, -492
Walking, 1571546399.0010002, 433942831859183.75, -86687017118809.81, -492
Walking, 1571546409.005, 433942894116329.3, -86688021987225.48, -492
Walking, 1571546419.0010002, 433942904743407.9, -86687889086059.2, -492
Walking, 1571546429.005, 433942873504217.7, -86688512153486.78, -492
Walking, 1571546439.0089998, 433942862003403.44, -86688770009486.5, -492
Walking, 1571546444.439, 433684706976474.94, -86150797267655.23, -492
Walking, 1571546455.0010002, 434181631353740.2, -86294335262922.67, -492
Walking, 1571546471.981, 434181695122233.8, -86292225190031.84, -492
Walking, 1571546482.0010002, 434181880742301.75, -86293746106682.83, -492
Walking, 1571546492.005, 434182157789445.2, -86293688317676.98, -492
Walking, 1571546502.0029998, 434182131055721.3, -86293335465881.27, -492
Walking, 1571546530.004, 434181685591842.1, -86292702494731.02, -492
Walking, 1571546550.01, 434181688424986.2, -86294491660303.25, -492
Walking, 1571546707.005, 434554908815480.4, -84131910476266.3, -492
Walking, 1571546717.01, 434553962805399.25, -84132047807899.56, -492
Walking, 1571546727.006, 434553327420615.5, -84132259144685.58, -492
Walking, 1571546744.004, 434554260320615.5, -84132259144685.58, -492
Walking, 1571546758.006, 434555091088143.94, -84132067968683.83, -492
Walking, 1571546768.0089998, 434555790514928.75, -84131791174387.6, -492
Walking, 1571546779.0010002, 434556521973650.1, -84131984960686.08, -492
Walking, 1571546791.0029998, 434557258448761.5, -84132211905618.02, -492
Walking, 1571546801.0010002, 434556543758558.9, -84132256394134.72, -492
Walking, 1571546825.0010002, 434557158258558.9, -84132256394134.72, -492
Walking, 1571546835.006, 434557588119777.3, -84132044224571.23, -492
Walking, 1571546845.0010002, 434557624511058.25, -84132446633007.42, -492
Walking, 1571546855.006, 434557063636308.9, -84132039503101.61, -492
Walking, 1571546865.0010002, 434557884779644.0, -84131804276801.34, -492
Walking, 1571546899.004, 434557900307628.44, -84131151911939.28, -492
Walking, 1571546909.0089998, 434558530227534.9, -84130875486903.94, -492
Walking, 1571546919.0029998, 434559568336674.9, -84131197752598.55, -492
Walking, 1571546936.0010002, 434559795268386.2, -84132088051752.19, -492
Walking, 1571546946.006, 434560637368386.25, -84132088051752.19, -492
Walking, 1571546956.0010002, 434561325963769.56, -84132536378525.45, -492
Walking, 1571546967.01, 434561411717440.4, -84133411439702.47, -492
Walking, 1571546977.006, 434561837930762.9, -84132663369218.72, -492
Walking, 1571547000.004, 434561118003259.06, -84133344877471.2, -492
Walking, 1571547010.0089998, 434560638150969.56, -84133067321891.48, -492
Walking, 1571547020.0029998, 434560653153539.7, -84131818359951.86, -492
Walking, 1571547030.008, 434561068853539.7, -84131818359951.86, -492
Walking, 1571547041.006, 434561193594139.4, -84130866947429.92, -492
Walking, 1571547056.002, 434561527024982.8, -84130349424859.98, -492
Walking, 1571547066.008, 434560657543887.3, -84130742427678.33, -492
Walking, 1571547076.0029998, 434561572276814.94, -84130861357844.58, -492
Walking, 1571547086.0070002, 434562995376814.9, -84130861357844.58, -492
Walking, 1571547103.004, 434562101378548.7, -84130912874949.38, -492
